Directory Path                                                                   | Number of Entries
/home/whalien/Desktop/compile_commands/device/generic/goldfish-opengl            | 38
/home/whalien/Desktop/compile_commands/frameworks/compile/slang                  | 38
/home/whalien/Desktop/compile_commands/packages/modules/Connectivity             | 38
/home/whalien/Desktop/compile_commands/external/dynamic_depth                    | 38
/home/whalien/Desktop/compile_commands/external/iw                               | 38
/home/whalien/Desktop/compile_commands/test/dittosuite                           | 37
/home/whalien/Desktop/compile_commands/external/libnl                            | 37
/home/whalien/Desktop/compile_commands/external/libcxx                           | 37
/home/whalien/Desktop/compile_commands/hardware/nxp/secure_element               | 36
/home/whalien/Desktop/compile_commands/device/google/contexthub                  | 36
/home/whalien/Desktop/compile_commands/external/blktrace                         | 36
/home/whalien/Desktop/compile_commands/external/flatbuffers                      | 36
/home/whalien/Desktop/compile_commands/external/sonivox                          | 36
/home/whalien/Desktop/compile_commands/frameworks/compile/libbcc                 | 35
/home/whalien/Desktop/compile_commands/frameworks/libs/net                       | 34
/home/whalien/Desktop/compile_commands/hardware/qcom/sm8150/gps                  | 33
/home/whalien/Desktop/compile_commands/hardware/qcom/sm7250/gps                  | 33
/home/whalien/Desktop/compile_commands/external/libxkbcommon                     | 33
/home/whalien/Desktop/compile_commands/external/lua                              | 33
/home/whalien/Desktop/compile_commands/external/ethtool                          | 33
/home/whalien/Desktop/compile_commands/external/scudo                            | 33
/home/whalien/Desktop/compile_commands/external/drm_hwcomposer                   | 33
/home/whalien/Desktop/compile_commands/external/brotli                           | 32
/home/whalien/Desktop/compile_commands/external/ipsec-tools                      | 32
/home/whalien/Desktop/compile_commands/external/libpcap                          | 31
/home/whalien/Desktop/compile_commands/external/libnetfilter_conntrack           | 30
/home/whalien/Desktop/compile_commands/hardware/qcom/sm8150/data/ipacfg-mgr      | 29
/home/whalien/Desktop/compile_commands/external/ruy                              | 29
/home/whalien/Desktop/compile_commands/external/gwp_asan                         | 29
/home/whalien/Desktop/compile_commands/external/f2fs-tools                       | 29
/home/whalien/Desktop/compile_commands/tools/netsim                              | 29
/home/whalien/Desktop/compile_commands/packages/apps/Gallery2                    | 28
/home/whalien/Desktop/compile_commands/external/zlib                             | 28
/home/whalien/Desktop/compile_commands/device/generic/car                        | 27
/home/whalien/Desktop/compile_commands/packages/apps/LegacyCamera                | 27
/home/whalien/Desktop/compile_commands/external/pcre                             | 27
/home/whalien/Desktop/compile_commands/external/igt-gpu-tools                    | 27
/home/whalien/Desktop/compile_commands/external/minigbm                          | 26
/home/whalien/Desktop/compile_commands/external/squashfs-tools                   | 26
/home/whalien/Desktop/compile_commands/external/libabigail                       | 26
/home/whalien/Desktop/compile_commands/external/minijail                         | 26
/home/whalien/Desktop/compile_commands/external/puffin                           | 26
/home/whalien/Desktop/compile_commands/external/kmod                             | 26
/home/whalien/Desktop/compile_commands/device/google/trout                       | 25
/home/whalien/Desktop/compile_commands/external/erofs-utils                      | 25
/home/whalien/Desktop/compile_commands/external/ppp                              | 25
/home/whalien/Desktop/compile_commands/external/eigen                            | 25
/home/whalien/Desktop/compile_commands/external/freetype                         | 25
/home/whalien/Desktop/compile_commands/external/image_io                         | 25
/home/whalien/Desktop/compile_commands/system/libhidl                            | 25
/home/whalien/Desktop/compile_commands/frameworks/libs/binary_translation        | 24
/home/whalien/Desktop/compile_commands/external/bcc                              | 24
/home/whalien/Desktop/compile_commands/external/dtc                              | 24
/home/whalien/Desktop/compile_commands/external/libevent                         | 24
/home/whalien/Desktop/compile_commands/device/linaro/dragonboard                 | 23
/home/whalien/Desktop/compile_commands/external/libpng                           | 23
/home/whalien/Desktop/compile_commands/external/bc                               | 23
/home/whalien/Desktop/compile_commands/packages/services/BuiltInPrintService     | 22
/home/whalien/Desktop/compile_commands/external/bpftool                          | 22
/home/whalien/Desktop/compile_commands/external/libsrtp2                         | 22
/home/whalien/Desktop/compile_commands/hardware/st/nfc                           | 21
/home/whalien/Desktop/compile_commands/test/vts-testcase/kernel                  | 21
/home/whalien/Desktop/compile_commands/device/google/atv                         | 21
/home/whalien/Desktop/compile_commands/external/renderscript-intrinsics-replacement-toolkit | 21
/home/whalien/Desktop/compile_commands/external/capstone                         | 21
/home/whalien/Desktop/compile_commands/external/libkmsxx                         | 21
/home/whalien/Desktop/compile_commands/external/AFLplusplus                      | 21
/home/whalien/Desktop/compile_commands/external/open-dice                        | 21
/home/whalien/Desktop/compile_commands/system/teeui                              | 21
/home/whalien/Desktop/compile_commands/packages/apps/Nfc                         | 20
/home/whalien/Desktop/compile_commands/external/google-benchmark                 | 20
/home/whalien/Desktop/compile_commands/external/libutf                           | 20
/home/whalien/Desktop/compile_commands/external/tremolo                          | 20
/home/whalien/Desktop/compile_commands/external/libcxxabi                        | 20
/home/whalien/Desktop/compile_commands/hardware/google/graphics/common           | 19
/home/whalien/Desktop/compile_commands/hardware/st/secure_element                | 19
/home/whalien/Desktop/compile_commands/device/google/sunfish                     | 19
/home/whalien/Desktop/compile_commands/packages/modules/Virtualization           | 19
/home/whalien/Desktop/compile_commands/external/libbpf                           | 19
/home/whalien/Desktop/compile_commands/libnativehelper                           | 19
/home/whalien/Desktop/compile_commands/tools/dexter                              | 19
/home/whalien/Desktop/compile_commands/system/nvram                              | 19
/home/whalien/Desktop/compile_commands/system/libufdt                            | 19
/home/whalien/Desktop/compile_commands/device/google/coral                       | 18
/home/whalien/Desktop/compile_commands/external/gptfdisk                         | 18
/home/whalien/Desktop/compile_commands/external/iperf3                           | 18
/home/whalien/Desktop/compile_commands/external/cpuinfo                          | 18
/home/whalien/Desktop/compile_commands/system/memory/libmeminfo                  | 18
/home/whalien/Desktop/compile_commands/system/memory/libmemunreachable           | 18
/home/whalien/Desktop/compile_commands/system/tools/sysprop                      | 18
/home/whalien/Desktop/compile_commands/external/mdnsresponder                    | 17
/home/whalien/Desktop/compile_commands/external/OpenCL-CTS                       | 17
/home/whalien/Desktop/compile_commands/external/flac                             | 17
/home/whalien/Desktop/compile_commands/system/hardware/interfaces                | 17
/home/whalien/Desktop/compile_commands/device/google/gs201                       | 16
/home/whalien/Desktop/compile_commands/external/libgsm                           | 16
/home/whalien/Desktop/compile_commands/external/zopfli                           | 16
/home/whalien/Desktop/compile_commands/build/make                                | 16
/home/whalien/Desktop/compile_commands/tools/security                            | 16
/home/whalien/Desktop/compile_commands/system/libhwbinder                        | 16
/home/whalien/Desktop/compile_commands/hardware/st/secure_element2               | 15
/home/whalien/Desktop/compile_commands/device/google/gs101                       | 15
/home/whalien/Desktop/compile_commands/device/generic/opengl-transport           | 15
/home/whalien/Desktop/compile_commands/frameworks/hardware/interfaces            | 15
/home/whalien/Desktop/compile_commands/external/mksh                             | 15
/home/whalien/Desktop/compile_commands/external/libtracefs                       | 15
/home/whalien/Desktop/compile_commands/external/sg3_utils                        | 15
/home/whalien/Desktop/compile_commands/external/libpalmrejection                 | 15
/home/whalien/Desktop/compile_commands/external/libusb                           | 15
/home/whalien/Desktop/compile_commands/external/cpu_features                     | 14
/home/whalien/Desktop/compile_commands/external/libfuse                          | 14
/home/whalien/Desktop/compile_commands/external/tinyalsa_new                     | 14
/home/whalien/Desktop/compile_commands/external/libffi                           | 14
/home/whalien/Desktop/compile_commands/tools/test/graphicsbenchmark              | 14
/home/whalien/Desktop/compile_commands/system/incremental_delivery               | 14
/home/whalien/Desktop/compile_commands/system/sepolicy                           | 14
/home/whalien/Desktop/compile_commands/hardware/nxp/uwb                          | 13
/home/whalien/Desktop/compile_commands/external/marisa-trie                      | 13
/home/whalien/Desktop/compile_commands/external/dnsmasq                          | 13
/home/whalien/Desktop/compile_commands/external/stressapptest                    | 13
/home/whalien/Desktop/compile_commands/external/rmi4utils                        | 13
/home/whalien/Desktop/compile_commands/external/iptables                         | 13
/home/whalien/Desktop/compile_commands/system/libziparchive                      | 13
/home/whalien/Desktop/compile_commands/hardware/google/av                        | 12
/home/whalien/Desktop/compile_commands/hardware/samsung/nfc                      | 12
/home/whalien/Desktop/compile_commands/external/tinyalsa                         | 12
/home/whalien/Desktop/compile_commands/external/libexif                          | 12
/home/whalien/Desktop/compile_commands/external/fsverity-utils                   | 12
/home/whalien/Desktop/compile_commands/external/wmediumd                         | 12
/home/whalien/Desktop/compile_commands/external/fmtlib                           | 12
/home/whalien/Desktop/compile_commands/device/google/bramble                     | 11
/home/whalien/Desktop/compile_commands/device/google/barbet                      | 11
/home/whalien/Desktop/compile_commands/packages/providers/MediaProvider          | 11
/home/whalien/Desktop/compile_commands/external/google-fruit                     | 11
/home/whalien/Desktop/compile_commands/hardware/broadcom/wlan                    | 10
/home/whalien/Desktop/compile_commands/test/vts-testcase/hal                     | 10
/home/whalien/Desktop/compile_commands/frameworks/proto_logging                  | 10
/home/whalien/Desktop/compile_commands/external/android-clat                     | 10
/home/whalien/Desktop/compile_commands/system/memory/libion                      | 10
/home/whalien/Desktop/compile_commands/frameworks/opt/net/voip                   | 9
/home/whalien/Desktop/compile_commands/external/libcap                           | 9
/home/whalien/Desktop/compile_commands/external/libiio                           | 9
/home/whalien/Desktop/compile_commands/external/exfatprogs                       | 9
/home/whalien/Desktop/compile_commands/system/testing/gtest_extras               | 9
/home/whalien/Desktop/compile_commands/hardware/qcom/display                     | 8
/home/whalien/Desktop/compile_commands/frameworks/ex                             | 8
/home/whalien/Desktop/compile_commands/external/double-conversion                | 8
/home/whalien/Desktop/compile_commands/external/wayland                          | 8
/home/whalien/Desktop/compile_commands/external/sqlite                           | 8
/home/whalien/Desktop/compile_commands/external/libtraceevent                    | 8
/home/whalien/Desktop/compile_commands/external/libconfig                        | 8
/home/whalien/Desktop/compile_commands/external/FP16                             | 8
/home/whalien/Desktop/compile_commands/external/bzip2                            | 8
/home/whalien/Desktop/compile_commands/external/one-true-awk                     | 8
/home/whalien/Desktop/compile_commands/external/lz4                              | 8
/home/whalien/Desktop/compile_commands/system/memory/lmkd                        | 8
/home/whalien/Desktop/compile_commands/hardware/qcom/sdm845/display              | 7
/home/whalien/Desktop/compile_commands/hardware/google/interfaces                | 7
/home/whalien/Desktop/compile_commands/test/vts-testcase                         | 7
/home/whalien/Desktop/compile_commands/device/google/redfin                      | 7
/home/whalien/Desktop/compile_commands/frameworks/opt/net/wifi                   | 7
/home/whalien/Desktop/compile_commands/external/giflib                           | 7
/home/whalien/Desktop/compile_commands/external/piex                             | 7
/home/whalien/Desktop/compile_commands/external/nos/host/generic                 | 7
/home/whalien/Desktop/compile_commands/external/iputils                          | 7
/home/whalien/Desktop/compile_commands/system/hwservicemanager                   | 7
/home/whalien/Desktop/compile_commands/system/gsid                               | 7
/home/whalien/Desktop/compile_commands/hardware/libhardware_legacy               | 6
/home/whalien/Desktop/compile_commands/hardware/ti/am57x                         | 6
/home/whalien/Desktop/compile_commands/test/mlts/benchmark                       | 6
/home/whalien/Desktop/compile_commands/device/google/redbull                     | 6
/home/whalien/Desktop/compile_commands/packages/modules/ExtServices              | 6
/home/whalien/Desktop/compile_commands/packages/modules/SdkExtensions            | 6
/home/whalien/Desktop/compile_commands/external/conscrypt                        | 6
/home/whalien/Desktop/compile_commands/external/cn-cbor                          | 6
/home/whalien/Desktop/compile_commands/external/libprotobuf-mutator              | 6
/home/whalien/Desktop/compile_commands/external/tinycompress                     | 6
/home/whalien/Desktop/compile_commands/external/fsck_msdos                       | 6
/home/whalien/Desktop/compile_commands/build/bazel                               | 6
/home/whalien/Desktop/compile_commands/system/libfmq                             | 6
/home/whalien/Desktop/compile_commands/system/tools/xsdc                         | 6
/home/whalien/Desktop/compile_commands/test/vts-testcase/security                | 5
/home/whalien/Desktop/compile_commands/device/amlogic/yukawa                     | 5
/home/whalien/Desktop/compile_commands/device/google/gs-common                   | 5
/home/whalien/Desktop/compile_commands/packages/modules/Gki                      | 5
/home/whalien/Desktop/compile_commands/external/tflite-support                   | 5
/home/whalien/Desktop/compile_commands/system/memory/libdmabufheap               | 5
/home/whalien/Desktop/compile_commands/hardware/google/apf                       | 4
/home/whalien/Desktop/compile_commands/device/google/raviole                     | 4
/home/whalien/Desktop/compile_commands/device/google/pantah                      | 4
/home/whalien/Desktop/compile_commands/external/liburing                         | 4
/home/whalien/Desktop/compile_commands/external/libldac                          | 4
/home/whalien/Desktop/compile_commands/external/libwebm                          | 4
/home/whalien/Desktop/compile_commands/external/libepoxy                         | 4
/home/whalien/Desktop/compile_commands/external/fft2d                            | 4
/home/whalien/Desktop/compile_commands/external/pthreadpool                      | 4
/home/whalien/Desktop/compile_commands/external/libdivsufsort                    | 4
/home/whalien/Desktop/compile_commands/external/xz-embedded                      | 4
/home/whalien/Desktop/compile_commands/system/gatekeeper                         | 4
/home/whalien/Desktop/compile_commands/system/libprocinfo                        | 4
/home/whalien/Desktop/compile_commands/development                               | 3
/home/whalien/Desktop/compile_commands/frameworks/libs/modules-utils             | 3
/home/whalien/Desktop/compile_commands/packages/apps/TV                          | 3
/home/whalien/Desktop/compile_commands/packages/apps/Camera2                     | 3
/home/whalien/Desktop/compile_commands/external/scrypt                           | 3
/home/whalien/Desktop/compile_commands/external/mesa3d                           | 3
/home/whalien/Desktop/compile_commands/external/expat                            | 3
/home/whalien/Desktop/compile_commands/external/gflags                           | 3
/home/whalien/Desktop/compile_commands/external/fec                              | 3
/home/whalien/Desktop/compile_commands/external/jsoncpp                          | 3
/home/whalien/Desktop/compile_commands/external/lmfit                            | 3
/home/whalien/Desktop/compile_commands/external/nanopb-c                         | 3
/home/whalien/Desktop/compile_commands/external/libnfnetlink                     | 3
/home/whalien/Desktop/compile_commands/external/mtpd                             | 3
/home/whalien/Desktop/compile_commands/external/dexmaker                         | 3
/home/whalien/Desktop/compile_commands/external/walt                             | 3
/home/whalien/Desktop/compile_commands/build/soong                               | 3
/home/whalien/Desktop/compile_commands/system/server_configurable_flags          | 3
/home/whalien/Desktop/compile_commands/system/bpfprogs                           | 3
/home/whalien/Desktop/compile_commands/system/libartpalette                      | 3
/home/whalien/Desktop/compile_commands/system/dmesgd                             | 3
/home/whalien/Desktop/compile_commands/system/libcppbor                          | 3
/home/whalien/Desktop/compile_commands/system/bpf                                | 3
/home/whalien/Desktop/compile_commands/hardware/ril                              | 2
/home/whalien/Desktop/compile_commands/prebuilts/asuite                          | 2
/home/whalien/Desktop/compile_commands/prebuilts/ndk                             | 2
/home/whalien/Desktop/compile_commands/device/generic/trusty                     | 2
/home/whalien/Desktop/compile_commands/platform_testing                          | 2
/home/whalien/Desktop/compile_commands/packages/modules/NetworkStack             | 2
/home/whalien/Desktop/compile_commands/external/rust/cxx                         | 2
/home/whalien/Desktop/compile_commands/external/tinyxml2                         | 2
/home/whalien/Desktop/compile_commands/external/pffft                            | 2
/home/whalien/Desktop/compile_commands/external/FXdiv                            | 2
/home/whalien/Desktop/compile_commands/external/rootdev                          | 2
/home/whalien/Desktop/compile_commands/external/grpc-grpc-java                   | 2
/home/whalien/Desktop/compile_commands/external/seccomp-tests                    | 2
/home/whalien/Desktop/compile_commands/external/libcap-ng                        | 2
/home/whalien/Desktop/compile_commands/external/newfs_msdos                      | 2
/home/whalien/Desktop/compile_commands/external/libogg                           | 2
/home/whalien/Desktop/compile_commands/tools/tradefederation/core                | 2
/home/whalien/Desktop/compile_commands/system/memory/libmemtrack                 | 2
/home/whalien/Desktop/compile_commands/hardware/qcom/sm8150/display              | 1
/home/whalien/Desktop/compile_commands/hardware/qcom/bootctrl                    | 1
/home/whalien/Desktop/compile_commands/hardware/google/graphics/gs201            | 1
/home/whalien/Desktop/compile_commands/hardware/google/graphics/gs101            | 1
/home/whalien/Desktop/compile_commands/pdk                                       | 1
/home/whalien/Desktop/compile_commands/device/google/bluejay                     | 1
/home/whalien/Desktop/compile_commands/device/linaro/hikey                       | 1
/home/whalien/Desktop/compile_commands/device/ti/beagle_x15                      | 1
/home/whalien/Desktop/compile_commands/device/sample                             | 1
/home/whalien/Desktop/compile_commands/dalvik                                    | 1
/home/whalien/Desktop/compile_commands/packages/modules/Media                    | 1
/home/whalien/Desktop/compile_commands/packages/apps/Messaging                   | 1
/home/whalien/Desktop/compile_commands/bootable/libbootloader                    | 1
/home/whalien/Desktop/compile_commands/external/modp_b64                         | 1
/home/whalien/Desktop/compile_commands/external/rust/crates/userfaultfd-sys      | 1
/home/whalien/Desktop/compile_commands/external/rust/crates/grpcio-sys           | 1
/home/whalien/Desktop/compile_commands/external/oss-fuzz                         | 1
/home/whalien/Desktop/compile_commands/external/sl4a                             | 1
/home/whalien/Desktop/compile_commands/external/javasqlite                       | 1
/home/whalien/Desktop/compile_commands/external/sonic                            | 1
/home/whalien/Desktop/compile_commands/external/speex                            | 1
/home/whalien/Desktop/compile_commands/external/musl                             | 1
/home/whalien/Desktop/compile_commands/external/crosvm                           | 1
/home/whalien/Desktop/compile_commands/external/smali                            | 1
/home/whalien/Desktop/compile_commands/external/wuffs-mirror-release-c           | 1
/home/whalien/Desktop/compile_commands/external/rnnoise                          | 1
/home/whalien/Desktop/compile_commands/external/gemmlowp                         | 1
/home/whalien/Desktop/compile_commands/external/jsmn                             | 1
/home/whalien/Desktop/compile_commands/system/tools/mkbootimg                    | 1
